segment_id,segment_type,point_index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event,from_node,to_node,source_x_m,source_y_m,map_yaw_rad,alignment_zone
START_A,,86,37.2890260668,127.1074601666,15.772052044,0.239671892,1,1,2,NONE,,,-16.780915000,5.462114000,0.252763204185,ZONE_01_START
START_A,,87,37.2890265668,127.1074576666,15.993099661,0.296765700,1,1,2,NONE,,,-17.002328000,5.517774000,0.124733366488,ZONE_01_START
START_A,,88,37.2890274002,127.1074550000,16.244864177,0.328333018,1,1,2,NONE,,,-17.238495000,5.610548000,0.124788125751,ZONE_01_START
START_A,,89,37.2890282335,127.1074523333,16.496632209,0.359914780,1,1,2,NONE,,,-17.474672000,5.703311000,0.102300878195,ZONE_01_START
START_A,,90,37.2890290668,127.1074498333,16.735435982,0.384430197,1,1,2,NONE,,,-17.696084000,5.796074000,0.226657586171,ZONE_01_START
START_A,,91,37.2890297335,127.1074468333,17.004246987,0.446423513,1,1,2,NONE,,,-17.961780000,5.870291000,0.211476967978,ZONE_01_START
START_A,,92,37.2890304002,127.1074440000,17.260093734,0.501350483,1,1,2,NONE,,,-18.212711000,5.944508000,0.175663006042,ZONE_01_START
START_A,,93,37.2890310668,127.1074415000,17.490017236,0.542160164,1,1,2,NONE,,,-18.434124000,6.018714000,0.144924152805,ZONE_01_START
START_A,,94,37.2890319002,127.1074386666,17.754753035,0.580797656,1,1,2,NONE,,,-18.685064000,6.111488000,0.102302487868,ZONE_01_START
START_A,,95,37.2890327335,127.1074361666,17.993557686,0.605313552,1,1,2,NONE,,,-18.906477000,6.204251000,0.198167717338,ZONE_01_START
START_A,,96,37.2890334232,127.1074333728,18.247558712,0.656317762,1,1,2,NONE,,,-19.153910000,6.281029000,0.208574525085,ZONE_01_START
START_A,,97,37.2890340668,127.1074306666,18.492291315,0.708116069,1,1,2,NONE,,,-19.393585000,6.352674000,0.124734807479,ZONE_01_START
START_A,,98,37.2890349002,127.1074280000,18.744056709,0.739683866,1,1,2,NONE,,,-19.629753000,6.445448000,0.126446581555,ZONE_01_START
START_A,,99,37.2890357077,127.1074254032,18.989013415,0.770823945,1,1,2,NONE,,,-19.859738000,6.535339000,0.100588515621,ZONE_01_START
START_A,,100,37.2890362335,127.1074238333,19.139107882,0.785972851,1,1,2,NONE,,,-19.998777000,6.593871000,0.144939387848,ZONE_01_START
START_A,,101,37.2890370668,127.1074210001,19.403822611,0.824611387,1,1,2,NONE,,,-20.249699000,6.686634000,0.211496476223,ZONE_01_START
START_A,,102,37.2890377335,127.1074181666,19.659685163,0.879546972,1,2,2,NONE,,,-20.500648000,6.760851000,0.124762190270,ZONE_01_START
START_A,,103,37.2890385668,127.1074155001,19.911437390,0.911120120,1,2,2,NONE,,,-20.736807000,6.853614000,0.144935817574,ZONE_01_START
START_A,,104,37.2890394002,127.1074126666,20.176181090,0.949761919,1,2,2,NONE,,,-20.987756000,6.946388000,0.144952349126,ZONE_01_START
START_A,,105,37.2890402335,127.1074098333,20.440904600,0.988405241,1,2,2,NONE,,,-21.238688000,7.039151000,0.124786684981,ZONE_01_START
START_A,,106,37.2890410668,127.1074071666,20.692671753,1.019986525,1,2,2,NONE,,,-21.474864000,7.131914000,0.124721838183,ZONE_01_START
START_A,,107,37.2890419002,127.1074045001,20.944429245,1.051550014,1,2,2,NONE,,,-21.711023000,7.224688000,0.211536784755,ZONE_01_START
START_A,,108,37.2890425668,127.1074016666,21.200286532,1.106495257,1,2,2,NONE,,,-21.961972000,7.298894000,0.210621507738,ZONE_01_START
