index,segment_id,x,y,yaw_deg,direction,speed,required_steering_deg,event
111,11,26.046415,39.097775,10.010632,F,2.000000,4.036243,NONE
112,11,29.137512,39.643410,6.057343,F,2.000000,-0.205283,NONE
113,11,53.959808,42.277458,3.720254,F,2.000000,-0.106134,NONE
114,11,61.128181,42.743561,17.137545,F,2.000000,2.006529,NONE
115,11,63.553123,43.491310,32.407180,F,2.000000,4.239963,NONE
116,11,65.828583,44.935760,67.317962,F,2.000000,8.276439,NONE
117,11,67.109955,48.001678,82.159396,F,2.000000,3.246823,NONE
118,11,67.563553,51.295662,90.561878,F,2.000000,0.855900,NONE
119,11,67.455849,62.278107,94.575317,F,2.000000,0.257969,NONE
120,11,66.520416,73.967430,100.681687,F,2.000000,0.592172,NONE
121,11,65.906120,77.224205,119.634331,F,2.000000,4.794935,NONE
122,11,64.711998,79.323311,161.642859,F,1.000000,13.636216,NONE
123,11,62.913685,79.920036,172.119517,F,2.000000,3.615048,NONE
124,11,60.610882,80.238777,176.429669,F,2.000000,1.165471,NONE
125,11,57.544319,80.430115,-177.030454,F,2.000000,0.155315,NONE
126,11,-0.666953,77.410416,-171.457264,F,2.000000,0.133457,NONE
127,11,-3.234200,77.024780,-160.099247,F,2.000000,3.360121,NONE
128,11,-5.420636,76.233269,-131.018183,F,2.000000,9.730634,NONE
129,11,-6.699560,74.762978,-114.036723,F,2.000000,6.182533,NONE
130,11,-7.526940,72.907852,-95.765717,F,2.000000,5.308072,NONE
131,11,-7.823944,69.966400,-91.335516,F,2.000000,0.918828,NONE
132,11,-7.919051,65.886894,-86.838565,F,2.000000,0.228139,NONE
133,11,-6.558007,41.245262,-75.662160,F,2.000000,0.597580,NONE
134,11,-5.939888,38.826958,-33.783212,F,1.000000,11.795462,NONE
135,11,-3.861075,37.436195,-4.450581,F,2.000000,7.356135,NONE
136,11,-0.648323,37.186134,-2.553680,F,2.000000,0.315942,NONE
137,11,4.888933,36.939175,4.951411,F,2.000000,1.017408,NONE
138,11,10.087775,37.389572,3.467338,F,2.000000,-0.204074,NONE
139,11,15.476601,37.716084,-20.515480,F,2.000000,-4.388517,NONE
140,11,17.801308,36.846195,-48.930001,F,2.000000,-7.984405,NONE
141,11,19.527262,34.865604,-74.619895,F,2.000000,-6.798385,NONE
142,11,20.274658,32.148514,-93.167990,F,2.000000,-4.567527,NONE
143,11,20.104870,29.080877,-126.736439,F,2.000000,-8.603172,NONE
144,11,18.610540,27.078739,-155.883042,F,2.000000,-7.719011,NONE
145,11,15.944349,25.885147,-169.880839,F,2.000000,-0.760673,NONE
146,11,-7.441018,21.711510,-169.880839,F,2.000000,-0.760673,NONE
